code,exchange,type,country,currency,isin,name
JUES,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US EQUITY UCITS ETF ACC
JUDS,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US EQUITY UCITS ETF DIST
JGOR,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US GROWTH UCITS ETF ACC
JGDU,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US GROWTH UCITS ETF DIST
JAAV,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US VALUE UCITS ETF ACC
JADV,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM ACTIVE US VALUE UCITS ETF DIST
BBCS,LSE,ETF,UK,GBX,,JPMORGAN ETFS (IRELAND) ICAV JPM BETABUILDERS US SMALLCAP UCITS ETF A
JAAG,LSE,ETF,UK,GBP,,JPMORGAN ETFS (IRELAND) ICAV JPM GLOBAL AGG BOND UCITS ETF ACC
JAGD,LSE,ETF,UK,GBP,,JPMORGAN ETFS (IRELAND) ICAV JPM GLOBAL AGG BOND UCITS ETF DIST
JAGP,LSE,ETF,UK,GBP,IE0000F1IQZ8,JPMORGAN ETFS (IRELAND) ICAV JPM GLOBAL AGG BOND UCITS ETF GBP HDG
BBSU,LSE,ETF,UK,GBX,IE00BJK9H753,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Equity UCITS ETF - USD (acc) GBP
BBUD,LSE,ETF,UK,USD,IE00BJK9H860,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Equity UCITS ETF - USD (dist)
BBDD,LSE,ETF,UK,GBX,IE00BJK9H860,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Equity UCITS ETF - USD (dist) GBP
BBDS,LSE,ETF,UK,GBX,IE0001O84583,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Small Cap Equity UCITS ETF
T3MP,LSE,ETF,UK,USD,IE000O8S1EX4,JPMorgan ETFs (Ireland) ICAV - Climate Change Solutions UCITS ETF
T3PM,LSE,ETF,UK,GBX,IE000O8S1EX4,JPMorgan ETFs (Ireland) ICAV - Climate Change Solutions UCITS ETF GBP
JERE,LSE,ETF,UK,GBX,IE00BF4G7183,JPMorgan ETFs (Ireland) ICAV - Europe Research Enhanced Index Equity UCITS ETF - EUR (acc)
JREE,LSE,ETF,UK,EUR,IE00BF4G7183,JPMorgan ETFs (Ireland) ICAV - Europe Research Enhanced Index Equity UCITS ETF - EUR (acc)
JRED,LSE,ETF,UK,EUR,IE000WGK3YY5,JPMorgan ETFs (Ireland) ICAV - Europe Research Enhanced Index Equity UCITS ETF - EUR (dist) EUR
JRDE,LSE,ETF,UK,GBX,IE000WGK3YY5,JPMorgan ETFs (Ireland) ICAV - Europe Research Enhanced Index Equity UCITS ETF - EUR (dist) GBX
JGST,LSE,ETF,UK,GBP,IE00BD9MMG79,JPMorgan ETFs (Ireland) ICAV - GBP Ultra-Short Income UCITS ETF
JREM,LSE,ETF,UK,USD,IE00BF4G6Z54,JPMorgan ETFs (Ireland) ICAV - Global Emerging Markets Research Enh Idx Eq (ESG) UCITS ETF USD Acc
JMRE,LSE,ETF,UK,GBX,IE00BF4G6Z54,JPMorgan ETFs (Ireland) ICAV - Global Emerging Markets Research Enh Idx Eq (ESG) UCITS ETF USD Acc GBP
JRMD,LSE,ETF,UK,USD,IE000Y4K4833,JPMorgan ETFs (Ireland) ICAV - Global Emerging Markets Research Enh Idx Eq (ESG) UCITS ETF USD Inc
JRDM,LSE,ETF,UK,GBX,IE000Y4K4833,JPMorgan ETFs (Ireland) ICAV - Global Emerging Markets Research Enh Idx Eq (ESG) UCITS ETF USD Inc GBX
JGRE,LSE,ETF,UK,GBX,IE00BF4G6Y48,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF - USD (acc)
JREG,LSE,ETF,UK,USD,IE00BF4G6Y48,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF - USD (acc)
JRGD,LSE,ETF,UK,USD,IE000HFXP0D2,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF - USD (dist)
JRDG,LSE,ETF,UK,GBX,IE000HFXP0D2,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF - USD (dist) GBX
JGEP,LSE,ETF,UK,GBX,IE000D9DX847,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF GBP Hedged Acc
JREI,LSE,ETF,UK,USD,IE00005YSIA4,JPMorgan ETFs (Ireland) ICAV - Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (Inc)
JRIE,LSE,ETF,UK,GBX,IE00005YSIA4,JPMorgan ETFs (Ireland) ICAV - Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (Inc) GBP
JREJ,LSE,ETF,UK,USD,IE00BP2NF958,JPMorgan ETFs (Ireland) ICAV - Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc)
JRJE,LSE,ETF,UK,GBX,IE00BP2NF958,JPMorgan ETFs (Ireland) ICAV - Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc) GBP
JUKC,LSE,ETF,UK,GBX,IE0009YQE5W1,JPMorgan ETFs (Ireland) ICAV - UK Equity Core UCITS ETF GBP Acc
JUKE,LSE,ETF,UK,GBX,IE000TZT3JJ0,JPMorgan ETFs (Ireland) ICAV - UK Equity Core UCITS ETF GBP Inc
JREU,LSE,ETF,UK,USD,IE00BF4G7076,JPMorgan ETFs (Ireland) ICAV - US Research Enhanced Index Equity UCITS ETF - USD (acc)
JURE,LSE,ETF,UK,GBX,IE00BF4G7076,JPMorgan ETFs (Ireland) ICAV - US Research Enhanced Index Equity UCITS ETF - USD (acc)
JRUD,LSE,ETF,UK,USD,IE00BJ06C044,JPMorgan ETFs (Ireland) ICAV - US Research Enhanced Index Equity UCITS ETF - USD (inc)
JMBP,LSE,ETF,UK,GBP,IE00BJLTWS02,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF GBP (dist) Hedged
JMBA,LSE,ETF,UK,USD,IE00BJ06C937,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF USD (acc)
JMAB,LSE,ETF,UK,GBP,IE00BJ06C937,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF USD (acc) GBP
JPBM,LSE,ETF,UK,GBP,IE00BDFC6G93,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF USD (dist)
JPMB,LSE,ETF,UK,USD,IE00BDFC6G93,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF USD (dist)
BBGE,LSE,ETF,UK,GBP,IE00BJK9HD13,JPMorgan ETFs (Ireland) ICAV BetaBuilders EUR Govt Bond UCITS ETF EUR Acc GBP
BBTP,LSE,ETF,UK,GBP,IE00BK6Q9938,JPMorgan ETFs (Ireland) ICAV BetaBuilders US Treasury Bond UCITS ETF GBP H Acc
BBTR,LSE,ETF,UK,USD,IE00BJK9HH50,JPMorgan ETFs (Ireland) ICAV BetaBuilders US Treasury Bond UCITS ETF USD Acc
BBRT,LSE,ETF,UK,GBP,IE00BJK9HH50,JPMorgan ETFs (Ireland) ICAV BetaBuilders US Treasury Bond UCITS ETF USD Acc GBP
JHYP,LSE,ETF,UK,GBP,IE00BKV0QF55,JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF GBP H Inc
JGHY,LSE,ETF,UK,USD,IE00BKKCKJ46,JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF USD Acc
JGYH,LSE,ETF,UK,GBP,IE00BKKCKJ46,JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF USD Acc GBP
JHYU,LSE,ETF,UK,USD,IE00BL0BLZ15,JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF USD H Acc
JR15,LSE,ETF,UK,EUR,IE00BF59RW70,JPMorgan ETFs Ireland ICAV - EUR Corporate Bond 1-5 yr Research Enhanced Index ESG UCITS ETF EUR Acc
J15R,LSE,ETF,UK,GBP,IE00BF59RW70,JPMorgan ETFs Ireland ICAV - EUR Corporate Bond 1-5 yr Research Enhanced Index ESG UCITS ETF EUR Acc GBP
JRBE,LSE,ETF,UK,GBP,IE00BF59RX87,JPMorgan ETFs Ireland ICAV - EUR Corporate Bond Research Enhanced Index ESG UCITS ETF EUR Acc GBP
JEBP,LSE,ETF,UK,GBP,IE000IZS2303,JPMorgan ETFs Ireland ICAV - EUR Corporate Bond Research Enhanced Index ESG UCITS ETF GBP Hedged Acc
JRUP,LSE,ETF,UK,GBP,IE00BN7JCJ33,JPMorgan ETFs Ireland ICAV - USD Corporate Bond Research Enhanced Index ESG UCITS ETF GBP Hedged Acc
JRUB,LSE,ETF,UK,USD,IE00BF59RV63,JPMorgan ETFs Ireland ICAV - USD Corporate Bond Research Enhanced Index ESG UCITS ETF USD Acc
JRBU,LSE,ETF,UK,GBP,IE00BF59RV63,JPMorgan ETFs Ireland ICAV - USD Corporate Bond Research Enhanced Index ESG UCITS ETF USD Acc GBP
JGGE,LSE,ETF,UK,GBP,,JPMorgan EUR Aggregate Bond Active UCITS ETF EUR (dist)
JEEP,LSE,ETF,UK,GBX,IE00064TWYK9,JPMorgan Europe Equity Premium Income Active UCITS ETF
JPHY,LSE,ETF,UK,USD,IE000LZI2UH4,JPMorgan USD High Yield Bond Active UCITS ETF USD (acc)
JCLS,LSE,ETF,UK,GBX,,Janus Henderson EUR AAA CLO Active Core UCITS ETF - GBP-H Dist
JAAD,LSE,ETF,UK,USD,LU2994520935,Janus Henderson Tabula USD AAA CLO UCITS ETF USD Dist
JAAS,LSE,ETF,UK,GBX,,Janus Henderson USD AAA CLO Active Core UCITS ETF - GBP-H Dist
JAAA,LSE,ETF,UK,USD,LU2994520851,Janus Henderson USD AAA CLO Active Core UCITS ETF - USD Acc
KWBE,LSE,ETF,UK,EUR,IE00BFXR7900,KraneShares CSI China Internet UCITS ETF
KARS,LSE,ETF,UK,USD,IE000YUAPTQ0,KraneShares Electric Vehicles & Future Mobility ESG Screened UCITS ETF USD
KOID,LSE,ETF,UK,USD,IE000O6Z73N7,KraneShares Gl Hmn and Embd IntelIdx UCITS ETF USD
CHIP,LSE,ETF,UK,GBX,IE0001QF56M0,KraneShares ICBCCS S&P China 500 Index UCITS ETF USD GBP
CHIN,LSE,ETF,UK,USD,LU1440654330,KraneShares ICBCCS S&P China 500 Index UCITS ETF USD USD
KSTP,LSE,ETF,UK,GBX,,KraneShares ICBCCS SSE Star Market 50 Index UCITS ETF
KSTR,LSE,ETF,UK,USD,IE00BKPJY434,KraneShares ICBCCS SSE Star Market 50 Index UCITS ETF
KURE,LSE,ETF,UK,USD,IE00BL6K0S82,KraneShares MSCI All China Health Care Index UCITS ETF USD
BCOG,LSE,ETF,UK,GBX,IE00BF0BCP69,L&G All Commodities UCITS ETF
BCOM,LSE,ETF,UK,USD,IE00BF0BCP69,L&G All Commodities UCITS ETF
AIAG,LSE,ETF,UK,GBX,IE00BK5BCD43,L&G Artificial Intelligence UCITS ETF
AIAI,LSE,ETF,UK,USD,IE00BK5BCD43,L&G Artificial Intelligence UCITS ETF
LGAP,LSE,ETF,UK,USD,IE00BFXR5W90,L&G Asia Pacific ex Japan Equity UCITS ETF
LGAG,LSE,ETF,UK,GBX,IE00BFXR5W90,L&G Asia Pacific ex Japan Equity UCITS ETF GBP
BATG,LSE,ETF,UK,GBX,IE00BF0M2Z96,L&G Battery Value-Chain UCITS ETF
BATT,LSE,ETF,UK,USD,IE00BF0M2Z96,L&G Battery Value-Chain UCITS ETF
DRGN,LSE,ETF,UK,USD,IE00BLRPQL76,L&G China CNY Bond UCITS ETF
DRGG,LSE,ETF,UK,GBX,IE00BLRPQL76,L&G China CNY Bond UCITS ETF GBP
RENG,LSE,ETF,UK,GBX,IE00BK5BCH80,L&G Clean Energy UCITS ETF USD Acc
RENW,LSE,ETF,UK,USD,IE00BK5BCH80,L&G Clean Energy UCITS ETF USD Acc
GLGG,LSE,ETF,UK,GBX,IE00BK5BC891,L&G Clean Water UCITS ETF
GLUG,LSE,ETF,UK,USD,IE00BK5BC891,L&G Clean Water UCITS ETF
USPY,LSE,ETF,UK,USD,IE00BYPLS672,L&G Cyber Security UCITS ETF
ISPY,LSE,ETF,UK,GBX,IE00BYPLS672,L&G Cyber Security UCITS ETF GBP
DEL2,LSE,ETF,UK,EUR,IE00B4QNHH68,L&G DAX® Daily 2x Long UCITS ETF
DL2P,LSE,ETF,UK,GBX,IE00B4QNHH68,L&G DAX® Daily 2x Long UCITS ETF
DES2,LSE,ETF,UK,EUR,IE00B4QNHZ41,L&G DAX® Daily 2x Short UCITS ETF
EMUS,LSE,ETF,UK,USD,IE00BLRPRF81,L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF
EMAU,LSE,ETF,UK,USD,IE00BLCGR455,L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF Acc
EMAG,LSE,ETF,UK,GBX,IE00BLCGR455,L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF Acc GBP
EMUG,LSE,ETF,UK,GBX,IE00BLRPRF81,L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF GBP
EMDH,LSE,ETF,UK,GBX,IE000YPT5PG3,L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF GBP Hedged Inc
EMD5,LSE,ETF,UK,USD,IE00BLRPQP15,L&G ESG Emerging Markets Government Bond (USD) 0-5 Year UCITS ETF
EMDG,LSE,ETF,UK,GBX,IE00BLRPQP15,L&G ESG Emerging Markets Government Bond (USD) 0-5 Year UCITS ETF GBP
GBP5,LSE,ETF,UK,GBX,IE00BLRPQN90,L&G ESG GBP Corporate Bond 0-5 Year UCITS ETF
GBPC,LSE,ETF,UK,GBX,IE00BLRPQM83,L&G ESG GBP Corporate Bond UCITS ETF
USDC,LSE,ETF,UK,USD,IE00BLRPRD67,L&G ESG USD Corporate Bond UCITS ETF
USDG,LSE,ETF,UK,GBX,IE00BLRPRD67,L&G ESG USD Corporate Bond UCITS ETF GBP
ECOM,LSE,ETF,UK,USD,IE00BF0M6N54,L&G Ecommerce Logistics UCITS ETF
ETRA,LSE,ETF,UK,GBX,IE000BLN64M9,L&G Energy Transition Commodities UCITS ETF USD Accumulating GBP
RIEU,LSE,ETF,UK,EUR,IE00BKLTRN76,L&G Europe ESG Exclusions Paris Aligned UCITS ETF Share Class EUR Accumulating
RIEG,LSE,ETF,UK,GBX,IE00BKLTRN76,L&G Europe ESG Exclusions Paris Aligned UCITS ETF Share Class EUR Accumulating GBP
LGEU,LSE,ETF,UK,EUR,IE00BFXR5V83,L&G Europe ex UK Equity UCITS ETF
LGEG,LSE,ETF,UK,GBX,IE00BFXR5V83,L&G Europe ex UK Equity UCITS ETF GBP
LUK2,LSE,ETF,UK,GBX,IE00B4QNJJ23,L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF
SUK2,LSE,ETF,UK,GBX,IE00B4QNK008,L&G FTSE 100 Super Short Strategy (Daily 2x) UCITS ETF
LGGL,LSE,ETF,UK,USD,IE00BFXR5S54,L&G Global Equity UCITS ETF
LGGG,LSE,ETF,UK,GBX,IE00BFXR5S54,L&G Global Equity UCITS ETF GBP
LDGL,LSE,ETF,UK,USD,IE0005AJA0P1,L&G Global Quality Dividends UCITS ETF - USD Distributing ETF
AUCO,LSE,ETF,UK,USD,IE00B3CNHG25,L&G Gold Mining UCITS ETF
DOCG,LSE,ETF,UK,GBX,IE00BK5BC677,L&G Healthcare Breakthrough UCITS ETF
DOCT,LSE,ETF,UK,USD,IE00BK5BC677,L&G Healthcare Breakthrough UCITS ETF
HTWO,LSE,ETF,UK,USD,IE00BMYDM794,L&G Hydrogen Economy UCITS ETF-USD Acc
HTWG,LSE,ETF,UK,GBX,IE00BMYDM794,L&G Hydrogen Economy UCITS ETF-USD Acc GBP
TIGG,LSE,ETF,UK,GBX,IE00BL6K6H97,L&G India INR Government Bond UCITS ETF USD Distributing GBP
TIGR,LSE,ETF,UK,USD,IE00BL6K6H97,L&G India INR Government Bond UCITS ETF USD Distributing USD
LGJP,LSE,ETF,UK,USD,IE00BFXR5T61,L&G Japan Equity UCITS ETF
LGJG,LSE,ETF,UK,GBX,IE00BFXR5T61,L&G Japan Equity UCITS ETF GBP
COMF,LSE,ETF,UK,USD,IE00B4WPHX27,L&G Longer Dated All Commodities UCITS ETF
ENCD,LSE,ETF,UK,USD,,L&G Multi Strategy Enhanced Commodities USD Distributing UCITS ETF
ECGD,LSE,ETF,UK,GBX,,L&G Multi-Strategy Enhanced Commodities GBP Hedged Dis UCITS ETF
ENCO,LSE,ETF,UK,USD,IE00BFXR6159,L&G Multi-Strategy Enhanced Commodities UCITS ETF
ENCG,LSE,ETF,UK,GBX,IE00BFXR6159,L&G Multi-Strategy Enhanced Commodities UCITS ETF GBP
BIOT,LSE,ETF,UK,USD,IE00BF0H7608,L&G PHARMA BREAKTHROUGH GO UCITS ETF
BIGT,LSE,ETF,UK,GBX,IE00BF0H7608,L&G Pharma Breakthrough UCITS ETF
LDAG,LSE,ETF,UK,GBX,IE00BMYDMB35,L&G Quality Equity Dividends ESG Exclusions Asia Pacific ex-Japan UCITS ETF
LDAP,LSE,ETF,UK,USD,IE00BMYDMB35,L&G Quality Equity Dividends ESG Exclusions Asia Pacific ex-Japan UCITS ETF GBP
LDME,LSE,ETF,UK,GBX,IE00BMYDMC42,L&G Quality Equity Dividends ESG Exclusions Emerging Markets UCITS ETF
LDEM,LSE,ETF,UK,USD,IE00BMYDMC42,L&G Quality Equity Dividends ESG Exclusions Emerging Markets UCITS ETF GBP
LDEU,LSE,ETF,UK,EUR,IE00BMYDM919,L&G Quality Equity Dividends ESG Exclusions Europe ex-UK UCITS ETF
LDEG,LSE,ETF,UK,GBX,IE00BMYDM919,L&G Quality Equity Dividends ESG Exclusions Europe ex-UK UCITS ETF USD
LDUK,LSE,ETF,UK,GBX,IE00BMYDM802,L&G Quality Equity Dividends ESG Exclusions UK UCITS ETF
ROBE,LSE,ETF,UK,EUR,IE00BMW3QX54,L&G ROBO Global Robotics and Automation UCITS ETF
ROBG,LSE,ETF,UK,GBX,IE00BMW3QX54,L&G ROBO Global Robotics and Automation UCITS ETF
ROBO,LSE,ETF,UK,USD,IE00BMW3QX54,L&G ROBO Global Robotics and Automation UCITS ETF
RTWO,LSE,ETF,UK,USD,IE00B3CNHJ55,L&G Russell 2000 US Small Cap UCITS ETF USD Accumulate
LGUK,LSE,ETF,UK,GBX,IE00BFXR5R48,L&G UK Equity UCITS ETF
UKG5,LSE,ETF,UK,GBX,IE00BLRPQK69,L&G UK Gilt 0-5 Year UCITS ETF
RIUS,LSE,ETF,UK,USD,IE00BKLWY790,L&G US ESG Exclusions Paris Aligned UCITS ETF
RIUG,LSE,ETF,UK,GBX,IE00BKLWY790,L&G US ESG Exclusions Paris Aligned UCITS ETF GBP
LGUS,LSE,ETF,UK,USD,IE00BFXR5Q31,L&G US Equity UCITS ETF
LGUG,LSE,ETF,UK,GBX,IE00BFXR5Q31,L&G US Equity UCITS ETF GBP
LDGG,LSE,ETF,UK,GBX,,LEGAL & GENERAL UCITS ETF
RIAG,LSE,ETF,UK,GBX,IE000Z9UVQ99,LEGAL & GENERAL UCITS ETF PLC L&G ASIA PACIFIC EX JAPAN PAB
RIEE,LSE,ETF,UK,GBX,IE000CBYU7J5,LEGAL & GENERAL UCITS ETF PLC L&G EM ESG EXCLS PAB UCITS ETF USD ACC
ASPY,LSE,ETF,UK,GBX,IE000ST40PX8,LEGAL & GENERAL UCITS ETF PLC L&G EMERGING CYBER SECURITY ESG
MTVG,LSE,ETF,UK,GBX,IE0004U3TX15,LEGAL & GENERAL UCITS ETF PLC L&G METAVERSE ESG
ECGH,LSE,ETF,UK,GBX,IE00011CA799,LEGAL & GENERAL UCITS ETF PLC L&G MULTISTRAT ENHANCED COMMOD GBP HDGD
KOIB,LSE,ETF,UK,GBP,,Latest KRANESHARES GLOBAL HUMANOID AND EMBODIED INTELLIGENCE INDEX UCITS ETF USD
SPEG,LSE,ETF,UK,GBX,,Legal & General S&P 100 Equal Weight UCITS ETF
DS2P,LSE,ETF,UK,GBX,IE00B4QNHZ41,Legal & General UCITS ETF Plc - L&G DAX Daily 2x Short UCITS ETF
DPAY,LSE,ETF,UK,USD,IE00BF92J153,Legal & General UCITS ETF Plc - L&G Digital Payments UCITS ETF
DPAG,LSE,ETF,UK,GBX,IE00BF92J153,Legal & General UCITS ETF Plc - L&G Digital Payments UCITS ETF GBP
ECOG,LSE,ETF,UK,GBX,IE00BF0M6N54,Legal & General UCITS ETF Plc - L&G Ecommerce Logistics UCITS ETF
AUCP,LSE,ETF,UK,GBX,IE00B3CNHG25,Legal & General UCITS ETF Plc - L&G Gold Mining UCITS ETF
CMFP,LSE,ETF,UK,GBX,IE00B4WPHX27,Legal & General UCITS ETF Plc - L&G Longer Dated All Commodities UCITS ETF
RTWP,LSE,ETF,UK,GBX,IE00B3CNHJ55,Legal & General UCITS ETF Plc - L&G Russell 2000 US Small Cap UCITS ETF
LAUU,LSE,ETF,UK,USD,LU0496786905,Lyxor Australia (S&P/ASX 200) UCITS ETF
GOUD,LSE,ETF,UK,USD,LU2099288503,Lyxor Core Global Government Bond (DR) UCITS ETF GBP
GOVD,LSE,ETF,UK,GBP,LU2099288503,Lyxor Core Global Government Bond (DR) UCITS ETF GBP GBP
GIST,LSE,ETF,UK,USD,LU1910939849,Lyxor Core Global Inflation-Linked 1-10Y Bond (DR) UCITS ETF Distribution Dis
GISG,LSE,ETF,UK,GBP,LU1910940425,Lyxor Core Global Inflation-Linked 1-10Y Bond (DR) UCITS ETF Monthly hedged to GBP Inc
LCJP,LSE,ETF,UK,GBP,LU1781541252,Lyxor Core MSCI Japan (DR) UCITS ETF
LCJG,LSE,ETF,UK,GBP,LU1781541682,Lyxor Core MSCI Japan (DR) UCITS ETF Daily Hedged to GBP - Acc
LCUK,LSE,ETF,UK,GBP,LU1781541096,Lyxor Core UK Equity All Cap (DR) UCITS ETF Dist
GILS,LSE,ETF,UK,GBX,LU1407892592,Lyxor Core UK Government Bond (DR) UCITS ETF - Dist-GBP
GILI,LSE,ETF,UK,GBX,LU1407893301,Lyxor Core UK Government Inflation-Linked Bond (DR) UCITS ETF - Dist-GBP
U71H,LSE,ETF,UK,GBP,LU1407888483,Lyxor Core US Treasury 7-10Y (DR) UCITS ETF
PLAN,LSE,ETF,UK,USD,LU2370241684,Lyxor Corporate Green Bond (DR) UCITS ETF EUR Accumulation USD
BNKE,LSE,ETF,UK,GBP,LU1829219390,Lyxor EURO STOXX Banks UCITS ETF P Acc GBP
CSHD,LSE,ETF,UK,USD,FR0010510800,Lyxor Euro Overnight Return UCITS ETF Acc
XCO2,LSE,ETF,UK,GBP,LU1981859819,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Acc GBP
XCOG,LSE,ETF,UK,GBP,LU1981860585,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Monthly Hedged to GBP Dist
XCOU,LSE,ETF,UK,USD,LU1981860239,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Monthly Hedged to USD Acc
CLMU,LSE,ETF,UK,USD,LU1563454310,Lyxor Green Bond (DR) UCITS ETF - C-EUR USD
KLMG,LSE,ETF,UK,GBP,LU1563455630,Lyxor Green Bond (DR) UCITS ETF - Monthly Hedged D GBP Dis
DTEC,LSE,ETF,UK,GBP,LU2023678282,Lyxor Index Fund - Lyxor MSCI Disruptive Technology ESG Filtered (DR) UCITS ETF
APEX,LSE,ETF,UK,USD,LU1900068161,Lyxor MSCI AC Asia Ex Japan UCITS ETF - Acc-EUR USD
ASIU,LSE,ETF,UK,USD,LU1900068914,Lyxor MSCI China ESG Leaders Extra (DR) UCITS ETF - Acc
LEMA,LSE,ETF,UK,USD,LU2573967036,Lyxor MSCI Emerging Markets (LUX) UCITS ETF - Acc
ESGL,LSE,ETF,UK,GBP,LU1940199711,Lyxor MSCI Europe ESG Leaders (DR) UCITS ETF - Acc GBP
KRWL,LSE,ETF,UK,GBX,LU1900066975,Lyxor MSCI Korea UCITS ETF - Acc-EUR
NRJC,LSE,ETF,UK,USD,FR0014002CG3,Lyxor MSCI New Energy ESG Filtered (DR) UCITS ETF - Acc
NRJL,LSE,ETF,UK,GBP,FR0010524777,Lyxor MSCI New Energy ESG Filtered (DR) UCITS ETF Dist GBP
NRJU,LSE,ETF,UK,USD,FR0010524777,Lyxor MSCI New Energy ESG Filtered (DR) UCITS ETF Dist USD
TURU,LSE,ETF,UK,USD,LU1900067601,Lyxor MSCI Turkey UCITS ETF Acc
WATU,LSE,ETF,UK,USD,FR0010527275,Lyxor MSCI Water ESG Filtered (DR) UCITS ETF Dist USD
FINW,LSE,ETF,UK,USD,LU0533033071,Lyxor MSCI World Financials TR UCITS ETF - C-EUR
FING,LSE,ETF,UK,GBP,IE00BLCHK052,Lyxor MSCI World Financials TR UCITS ETF - C-USD
WLDU,LSE,ETF,UK,USD,FR0011669845,Lyxor MSCI World UCITS ETF Monthly Hedged to USD Dist
NASD,LSE,ETF,UK,USD,LU1829221024,Lyxor Nasdaq-100 Ucits ETF Acc USD
PABG,LSE,ETF,UK,GBP,LU2195226068,Lyxor Net Zero 2050 S&P Eurozone Climate PAB (DR) UCITS ETF - Acc
SP5L,LSE,ETF,UK,GBP,LU1135865084,Lyxor S&P 500 UCITS ETF - C-EUR GBP
LSPU,LSE,ETF,UK,USD,LU0496786657,Lyxor S&P 500 UCITS ETF - D-USD
LSPX,LSE,ETF,UK,GBX,LU0496786657,Lyxor S&P 500 UCITS ETF - D-USD
SP5G,LSE,ETF,UK,GBP,LU1950341179,Lyxor S&P 500 UCITS ETF - Daily Hedged to GBP - Dist
EDIV,LSE,ETF,UK,GBP,LU0959210781,Lyxor S&P Eurozone ESG Dividend Aristocrats (DR) UCITS ETF EUR Acc GBP
SGQD,LSE,ETF,UK,USD,LU0855692520,Lyxor SG Global Quality Income NTR UCITS ETF - C-GBP
SGQL,LSE,ETF,UK,GBX,LU0855692520,Lyxor SG Global Quality Income NTR UCITS ETF - C-GBP
SGQX,LSE,ETF,UK,GBX,LU1040688639,Lyxor SG Global Quality Income NTR UCITS ETF - Monthly Hedged C-GBP
GIL5,LSE,ETF,UK,GBP,LU1439943090,Lyxor UK Government Bond 0-5Y (DR) UCITS ETF - Dist-GBP
U13E,LSE,ETF,UK,GBP,LU1407887675,Lyxor US Treasury 1-3Y (DR) UCITS ETF - Monthly Hedged to GBP - Dist
UH10,LSE,ETF,UK,GBP,LU1407891271,Lyxor US Treasury 10+Y (DR) UCITS ETF - Monthly Hedged to GBP - Dis
U10G,LSE,ETF,UK,GBX,LU1407890620,Lyxor US Treasury 10+Y (DR) UCITS ETF Dist
U37G,LSE,ETF,UK,GBX,LU1407888996,Lyxor US Treasury 3-7Y (DR) UCITS ETF
US37,LSE,ETF,UK,USD,LU1407888996,Lyxor US Treasury 3-7Y (DR) UCITS ETF
U37H,LSE,ETF,UK,GBP,LU1407889457,Lyxor US Treasury 3-7Y (DR) UCITS ETF GBP
US71,LSE,ETF,UK,USD,LU1407888053,Lyxor US Treasury 7-10Y (DR) UCITS ETF - Dist
