code,exchange,type,country,currency,isin,name
GEDV,AS,ETF,Netherlands,EUR,IE00BYTH5S21,SPDR® S&P® Global Dividend Aristocrats ESG UCITS ETF EUR
SXLC,AS,ETF,Netherlands,EUR,IE00BFWFPX50,SPDR® S&P® U.S. Communication Services Select Sector UCITS ETF EUR
UEDV,AS,ETF,Netherlands,EUR,IE00BYTH5R14,SPDR® S&P® U.S. Dividend Aristocrats ESG UCITS ETF EUR
SWRD,AS,ETF,Netherlands,EUR,IE00BFY0GT14,SSGA SPDR ETFS Europe I Public Limited Company - SPDR MSCI World UCITS ETF
SXLE,AS,ETF,Netherlands,EUR,IE00BWBXM492,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Energy Select Sector UCITS ETF
SXLF,AS,ETF,Netherlands,EUR,IE00BWBXM500,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Financials Select Sector UCITS ETF
SXLV,AS,ETF,Netherlands,EUR,IE00BWBXM617,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Health Care Select Sector UCITS ETF
SXLB,AS,ETF,Netherlands,EUR,IE00BWBXM831,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Materials Select Sector UCITS ETF
SXLK,AS,ETF,Netherlands,EUR,IE00BWBXM948,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Technology Select Sector UCITS ETF
SXLU,AS,ETF,Netherlands,EUR,IE00BWBXMB69,SSgA SPDR ETFs Europe II Public Limited Company - SPDR S&P U.S. Utilities Select Sector UCITS ETF
SXLY,AS,ETF,Netherlands,EUR,IE00BWBXM278,SSgA SPDR ETFs Europe II plc - SPDR S&P U.S. Consumer Discretionary Select Sector UCITS ETF
SXLP,AS,ETF,Netherlands,EUR,IE00BWBXM385,SSgA SPDR ETFs Europe II plc - SPDR S&P U.S. Consumer Staples Select Sector UCITS ETF
UIM1,AS,ETF,Netherlands,EUR,LU0136234068,UBS EURO STOXX 50 UCITS ETF EUR dis
UE25,AS,ETF,Netherlands,EUR,LU1215461085,UBS(Lux)Fund Solutions – Bloomberg MSCI US Liquid Corp Sust UCITS ETF(USD)A-dis EUR
UIMR,AS,ETF,Netherlands,EUR,LU0629460675,UBS(Lux)Fund Solutions – MSCI EMU Socially Responsible UCITS ETF(EUR)A-dis EUR
HKDE,AS,ETF,Netherlands,EUR,LU1169827224,UBS(Lux)Fund Solutions – MSCI Hong Kong UCITS ETF(HKD)A-dis EUR
JPSR,AS,ETF,Netherlands,EUR,LU1230561679,UBS(Lux)Fund Solutions – MSCI Japan Socially Responsible UCITS ETF(JPY)A-dis EUR
UIM5,AS,ETF,Netherlands,EUR,LU0136240974,UBS(Lux)Fund Solutions – MSCI Japan UCITS ETF(JPY)A-dis EUR
UE24,AS,ETF,Netherlands,EUR,LU1169825954,UBS(Lux)Fund Solutions – MSCI Singapore UCITS ETF(SGD)A-dis EUR
UIGB,AS,ETF,Netherlands,USD,IE000LG8P349,UTI ISB UCITS ETF
TDT,AS,ETF,Netherlands,EUR,NL0009272749,VanEck AEX UCITS ETF
TEET,AS,ETF,Netherlands,EUR,NL0010731816,VanEck European Equal Weight Screened UCITS ETF
TRET,AS,ETF,Netherlands,EUR,NL0009690239,VanEck Global Real Estate UCITS ETF
TDIV,AS,ETF,Netherlands,EUR,NL0011683594,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF
NTM,AS,ETF,Netherlands,EUR,NL0009272772,VanEck Multi-Asset Balanced Allocation UCITS ETF
DTM,AS,ETF,Netherlands,EUR,NL0009272764,VanEck Multi-Asset Conservative Allocation UCITS ETF
TOF,AS,ETF,Netherlands,EUR,NL0009272780,VanEck Multi-Asset Growth Allocation UCITS ETF
TSWE,AS,ETF,Netherlands,EUR,NL0010408704,VanEck Sustainable World Equal Weight UCITS ETF
TCBT,AS,ETF,Netherlands,EUR,NL0009690247,VanEck iBoxx EUR Corporates UCITS ETF
TAT,AS,ETF,Netherlands,EUR,NL0010273801,VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF
TGBT,AS,ETF,Netherlands,EUR,NL0009690254,VanEck iBoxx EUR Sovereign Diversified 1-10 UCITS ETF
V3PA,AS,ETF,Netherlands,EUR,IE000GOJO2A3,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Accumulating
V3PL,AS,ETF,Netherlands,EUR,IE0008T6IUX0,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Distributing
V3EA,AS,ETF,Netherlands,EUR,IE000QUOSE01,Vanguard ESG Developed Europe All Cap UCITS ETF (EUR) Accumulating
V3EL,AS,ETF,Netherlands,EUR,IE000NRGX9M3,Vanguard ESG Developed Europe All Cap UCITS ETF (EUR) Distributing
V3AA,AS,ETF,Netherlands,EUR,IE00BNG8L278,Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating
V3AL,AS,ETF,Netherlands,EUR,IE00BNG8L385,Vanguard ESG Global All Cap UCITS ETF (USD) Distributing
V3NL,AS,ETF,Netherlands,EUR,IE000L2ZNB07,Vanguard ESG North America All Cap UCITS ETF (USD) Distributing
V3NA,AS,ETF,Netherlands,EUR,IE000O58J820,Vanguard ESG North America All Cap UCITS ETF USD Accumulation
VCSHA,AS,ETF,Netherlands,EUR,IE000SOORXS0,Vanguard EUR Cash UCITS ETF (Acc)
VECP,AS,ETF,Netherlands,EUR,IE00BZ163G84,Vanguard EUR Corporate Bond UCITS ETF
VETY,AS,ETF,Netherlands,EUR,IE00BZ163H91,Vanguard EUR Eurozone Government Bond UCITS ETF
V3MA,AS,ETF,Netherlands,EUR,IE000KPJJWM6,Vanguard Esg Emerg Mark Ucits Etf Usd D
V3ML,AS,ETF,Netherlands,EUR,IE0001VXZTV7,Vanguard Esg Emerg Mark Ucits Etf Usd D
VHYL,AS,ETF,Netherlands,EUR,IE00B8GKDB10,Vanguard FTSE All-World High Dividend Yield UCITS ETF USD Distributing EUR
VWRL,AS,ETF,Netherlands,EUR,IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF EUR
VAPX,AS,ETF,Netherlands,EUR,IE00B9F5YL18,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing EUR
