isin,code,exchange,type,country,currency,name,selection_reason
LU1681041460,MJMT,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI Europe Momentum Factor UCITS ETF-C EUR,preferred_xetra
LU1681041890,QCEU,PA,ETF,France,EUR,Amundi Index Solutions - Amundi MSCI Europe Quality Factor UCITS ETF-C,fallback_exchange
LU1681042435,CG9,PA,ETF,France,EUR,Amundi Index Solutions - Amundi MSCI Europe Growth UCITS ETF Acc,fallback_exchange
LU1681042518,CV9,PA,ETF,France,EUR,Amundi Index Solutions - Amundi MSCI Europe Value Factor UCITS ETF-C,fallback_exchange
LU1681042609,CEUG,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI Europe ESG Broad CTB UCITS ETF DR EUR C,preferred_xetra
LU1681042864,ACU2,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI USA UCITS ETF-C EUR,preferred_xetra
LU1681042948,CU2USD,SW,ETF,Switzerland,USD,Amundi Index Solutions - Amundi MSCI USA UCITS ETF-C USD USD,fallback_exchange
LU1681043086,18MK,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI India UCITS ETF-C EUR,preferred_xetra
LU1681043169,CI2USD,SW,ETF,Switzerland,USD,Amundi Index Solutions - Amundi MSCI India UCITS ETF-C USD USD,fallback_exchange
LU1681043599,AMEW,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI World UCITS ETF C EUR,preferred_xetra
