isin,code,exchange,type,country,currency,name,selection_reason
LU2244387457,ASRE,XETRA,ETF,Germany,EUR,BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y UCITS ETF Capitalisation,preferred_xetra
LU2244387887,EGRE,XETRA,ETF,Germany,EUR,BNP Paribas Easy ESG Growth Europe UCITS ETF EUR Cap,preferred_xetra
LU2250132763,CHSR,XETRA,ETF,Germany,EUR,UBS(Lux)Fund Solutions – MSCI Switzerland IMI Socially Responsible UCITS ETF(CHF)A-acc,preferred_xetra
LU2263803533,XWD1,XETRA,ETF,Germany,EUR,Xtrackers MSCI World Swap UCITS ETF 1D USD,preferred_xetra
LU2265794276,UIC2,XETRA,ETF,Germany,EUR,UBS ETF - Solactive China Technology UCITS ETF (USD) A-acc,preferred_xetra
LU2265794946,UIC1,XETRA,ETF,Germany,EUR,UBS ETF - Solactive China Technology UCITS ETF (hedged to EUR) A-acc,preferred_xetra
LU2269164310,JARH,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Index MSCI Japan SRI PAB UCITS ETF DR Hedged (C),preferred_xetra
LU2277591868,AEMU,LSE,ETF,UK,USD,Amundi Index Solutions - Amundi Index MSCI Emerging Markets UCITS ETF DR USD D denominated units,fallback_exchange
LU2278080713,XCMC,XETRA,ETF,Germany,EUR,Xtrackers Bloomberg Commodity Swap UCITS ETF 1C - USD,preferred_xetra
LU2296661775,XMA1,XETRA,ETF,Germany,EUR,Xtrackers MSCI EM Asia ESG Screened Swap UCITS ETF 1D USD,preferred_xetra
LU2297533809,UCRH,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Index US Corp SRI UCITS ETF DR Hedged EUR Inc,preferred_xetra
LU2300294316,ECR1,XETRA,ETF,Germany,EUR,Amundi Index Solutions Amundi Euro Corp 0-1Y ESG UCITS ETF DR (C),preferred_xetra
LU2300294589,SADA,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Index MSCI EM Asia SRI PAB UCITS ETF DR USD (D),preferred_xetra
LU2300294746,JUPI,XETRA,ETF,Germany,EUR,Amundi Index Solutions - AUMNDI MSCI JAPAN ESG CLIMATE NET ZERO AMBITION CTB UCITS ETF Dist EUR,preferred_xetra
LU2300295123,PRAM,XETRA,ETF,Germany,EUR,Amundi Prime Emerging Markets UCITS ETF DR (C),preferred_xetra
LU2314312849,9W1,XETRA,ETF,Germany,EUR,BNP PARIBAS EASY - MSCI China Select SRI S-Series 10% Capped UCITS ETF EUR Acculumation,preferred_xetra
LU2314312922,9W1A,XETRA,ETF,Germany,USD,BNP PARIBAS EASY - MSCI China Select SRI S-Series 10% Capped UCITS ETF Accumulation,preferred_xetra
LU2338178218,U13HK,PA,ETF,France,HKD,Amundi US Treasury Bond 1-3Y UCITS ETF HKD Hedged Acc,fallback_exchange
LU2338178481,U710H,PA,ETF,France,HKD,Amundi US Treasury Bond 7-10Y UCITS ETF HKD Hedged Acc,fallback_exchange
LU2338178648,U10HK,PA,ETF,France,HKD,Amundi US Treasury Bond Long Dated UCITS ETF HKD Hedged Dist,fallback_exchange
LU2343997487,CNEG,PA,ETF,France,EUR,Amundi MSCI China ESG Selection - UCITS ETF DR (C),fallback_exchange
LU2345046655,EMXG,LSE,ETF,UK,GBX,Amundi MSCI Emerging Ex China ESG Leaders Select UCITS ETF DR USD Acc GBP,fallback_exchange
LU2346257210,HYCC,PA,ETF,France,EUR,Amundi Index Solution - Amundi EUR High Yield Corporate Bond ESG UCITS ETF Acc,fallback_exchange
LU2355200523,AGHG,LSE,ETF,UK,GBX,Amundi Index Solutions - Amundi Index Global AGG 500M UCITS ETF DR GBP Hedged GBX,fallback_exchange
LU2355200796,GOVG,LSE,ETF,UK,GBX,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR GBP Hedged GBX,fallback_exchange
LU2356220926,ERTH,PA,ETF,France,EUR,Amundi Euro Government Green Bond UCITS ETF Acc EUR,fallback_exchange
LU2361257269,XUEE,XETRA,ETF,Germany,EUR,Xtrackers II USD Emerging Markets Bond UCITS ETF 1D - EUR Hedged,preferred_xetra
LU2365458145,ASRS,XETRA,ETF,Germany,EUR,BNP Paribas Easy ECPI Global ESG Hydrogen Economy UCITS ETF EUR Cap EUR,preferred_xetra
LU2365458731,ASRN,XETRA,ETF,Germany,EUR,BNP PARIBAS EASY - JPM ESG Green Social & Sustainability IG Bond UCITS ETF EUR Distribution EUR,preferred_xetra
LU2365458814,ASRQ,XETRA,ETF,Germany,EUR,BNP PARIBAS EASY - JPM ESG Green Social & Sustainability IG Bond UCITS ETF EUR Capitalisation,preferred_xetra
LU2368674045,EAHG,LSE,ETF,UK,GBX,Amundi Index Euro Agg SRI UCITS ETF DR GBP Hedged,fallback_exchange
LU2370241684,PLAN,XETRA,ETF,Germany,EUR,Lyxor Corporate Green Bond (DR) UCITS ETF EUR Accumulation EUR,preferred_xetra
LU2376679564,XCTE,XETRA,ETF,Germany,EUR,Xtrackers Harvest MSCI China Tech 100 UCITS ETF,preferred_xetra
LU2382233182,GCSG,LSE,ETF,UK,GBX,Amundi Index Solutions - Amundi Global Corp SRI 1-5Y UCITS ETF DR Hedged GBP (C),fallback_exchange
LU2385068163,XZWG,XETRA,ETF,Germany,EUR,Xtrackers II ESG Global Government Bond UCITS ETF 1D EUR Income,preferred_xetra
LU2385068247,XZWS,LSE,ETF,UK,GBP,Xtrackers II ESG Global Government Bond UCITS ETF 2D GBP Income Hedged,fallback_exchange
LU2385068320,XZUD,LSE,ETF,UK,USD,Xtrackers II ESG Global Government Bond UCITS ETF 3D USD Income Hedged,fallback_exchange
LU2385068593,XZEG,XETRA,ETF,Germany,EUR,Xtrackers II ESG Global Government Bond UCITS ETF 4D EUR Income Hedged EUR,preferred_xetra
LU2391437253,500D,LSE,ETF,UK,USD,Amundi ETF S&P 500 UCITS ETF USD,fallback_exchange
LU2402389261,APXJ,XETRA,ETF,Germany,EUR,Amundi Index MSCI Pacific Ex Japan SRI PAB - UCITS ETF DR - EUR (D),preferred_xetra
LU2408467723,CBS5,LSE,ETF,UK,GBX,UBS (Lux) Fund Solutions - Bloomberg MSCI US Liquid Corporates 1-5 Year Sustainable UCITS ETF USDA GBP,fallback_exchange
